Unnamed: 0,household_id,state_code_str,zip_code,county_str,rating_area
185,148,ME,04363,KENNEBEC_COUNTY_ME,2.0
186,241,ME,04530,SAGADAHOC_COUNTY_ME,1.0
187,290,ME,04978,SOMERSET_COUNTY_ME,2.0
187,290,ME,04978,SOMERSET_COUNTY_ME,3.0
188,378,ME,04354,WALDO_COUNTY_ME,3.0
189,418,ME,04084,CUMBERLAND_COUNTY_ME,1.0
189,418,ME,04084,CUMBERLAND_COUNTY_ME,1.0
190,477,ME,04103,CUMBERLAND_COUNTY_ME,1.0
191,482,ME,04578,LINCOLN_COUNTY_ME,2.0
192,488,ME,04070,CUMBERLAND_COUNTY_ME,1.0
193,493,ME,04416,HANCOCK_COUNTY_ME,4.0
194,503,ME,04259,KENNEBEC_COUNTY_ME,2.0
195,519,ME,04086,SAGADAHOC_COUNTY_ME,1.0
196,526,ME,04911,SOMERSET_COUNTY_ME,3.0
197,527,ME,04074,CUMBERLAND_COUNTY_ME,1.0
197,527,ME,04074,CUMBERLAND_COUNTY_ME,1.0
198,528,ME,04033,CUMBERLAND_COUNTY_ME,1.0
199,533,ME,04090,YORK_COUNTY_ME,1.0
200,554,ME,04124,CUMBERLAND_COUNTY_ME,1.0
201,559,ME,04655,WASHINGTON_COUNTY_ME,4.0
202,580,ME,04841,KNOX_COUNTY_ME,2.0
203,593,ME,04103,CUMBERLAND_COUNTY_ME,1.0
204,595,ME,04614,HANCOCK_COUNTY_ME,4.0
205,596,ME,04212,ANDROSCOGGIN_COUNTY_ME,3.0
206,614,ME,04953,PENOBSCOT_COUNTY_ME,3.0
207,635,ME,04402,PENOBSCOT_COUNTY_ME,3.0
208,636,ME,04640,HANCOCK_COUNTY_ME,4.0
209,647,ME,04402,PENOBSCOT_COUNTY_ME,3.0
210,716,ME,04428,PENOBSCOT_COUNTY_ME,3.0
211,798,ME,04103,CUMBERLAND_COUNTY_ME,1.0
212,806,ME,04088,OXFORD_COUNTY_ME,2.0
